"Id"	"Label"	"Image"	"ImageSeed"	"ImageShape"	"ImageCurviness"	"ImageType"	"TrialNum"	"TrialType"	"Block"	"BlockTrial"	"Condition"	"LabelType"	"Location"	"Approach"	"Retreat"	"SubCondition"	"CorrectResponse"
"1-5"	"fa:fa:sha"	"102-J-10-4"	"102"	"J"	"10"	"4"	1	"Testing"	1	1	"3A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"1-5"	"fa:fa:sha"	"7-J-10-4"	"7"	"J"	"10"	"4"	2	"Testing"	1	2	"3A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"1-5"	"za:sa:za"	"111-C-30-3"	"111"	"C"	"30"	"3"	3	"Testing"	1	3	"3A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"1-5"	"za:sa:za"	"86-C-30-1"	"86"	"C"	"30"	"1"	4	"Testing"	1	4	"3A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"1-5"	"za:sa:za"	"118-C-20-2"	"118"	"C"	"20"	"2"	5	"Testing"	1	5	"3A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"1-5"	"fa:fa:sha"	"111-J-10-3"	"111"	"J"	"10"	"3"	6	"Testing"	1	6	"3A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"1-5"	"fa:fa:sha"	"144-J-10-3"	"144"	"J"	"10"	"3"	7	"Testing"	1	7	"3A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"1-5"	"fa:fa:sha"	"94-J-0-2"	"94"	"J"	"0"	"2"	8	"Testing"	1	8	"3A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"1-5"	"fa:fa:sha"	"74-J-10-4"	"74"	"J"	"10"	"4"	9	"Testing"	1	9	"3A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"1-5"	"fa:fa:sha"	"93-J-0-1"	"93"	"J"	"0"	"1"	10	"Testing"	1	10	"3A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"1-5"	"za:sa:za"	"84-C-20-2"	"84"	"C"	"20"	"2"	11	"Testing"	1	11	"3A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"1-5"	"za:sa:za"	"7-C-20-4"	"7"	"C"	"20"	"4"	12	"Testing"	1	12	"3A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"1-5"	"fa:fa:sha"	"128-J-10-3"	"128"	"J"	"10"	"3"	13	"Testing"	1	13	"3A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"1-5"	"fa:fa:sha"	"84-J-0-2"	"84"	"J"	"0"	"2"	14	"Testing"	1	14	"3A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"1-5"	"za:sa:za"	"102-C-20-4"	"102"	"C"	"20"	"4"	15	"Testing"	1	15	"3A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"1-5"	"za:sa:za"	"144-C-30-3"	"144"	"C"	"30"	"3"	16	"Testing"	1	16	"3A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"1-5"	"za:sa:za"	"27-C-30-1"	"27"	"C"	"30"	"1"	17	"Testing"	1	17	"3A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"1-5"	"za:sa:za"	"94-C-20-2"	"94"	"C"	"20"	"2"	18	"Testing"	1	18	"3A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"1-5"	"za:sa:za"	"74-C-20-4"	"74"	"C"	"20"	"4"	19	"Testing"	1	19	"3A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"1-5"	"za:sa:za"	"128-C-30-3"	"128"	"C"	"30"	"3"	20	"Testing"	1	20	"3A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"1-5"	"fa:fa:sha"	"86-J-0-1"	"86"	"J"	"0"	"1"	21	"Testing"	1	21	"3A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"1-5"	"za:sa:za"	"93-C-30-1"	"93"	"C"	"30"	"1"	22	"Testing"	1	22	"3A"	"C2"	"Left"	"39"	"37"	"C"	"39"
"1-5"	"fa:fa:sha"	"118-J-0-2"	"118"	"J"	"0"	"2"	23	"Testing"	1	23	"3A"	"C1"	"Right"	"37"	"39"	"C"	"39"
"1-5"	"fa:fa:sha"	"27-J-0-1"	"27"	"J"	"0"	"1"	24	"Testing"	1	24	"3A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"1-5"	"fa:fa:sha"	"27-J-0-1"	"27"	"J"	"0"	"1"	25	"Testing"	2	1	"3A"	"C1"	"Left"	"39"	"37"	"C"	"37"
"1-5"	"za:sa:za"	"74-C-20-4"	"74"	"C"	"20"	"4"	26	"Testing"	2	2	"3A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"1-5"	"za:sa:za"	"86-C-30-1"	"86"	"C"	"30"	"1"	27	"Testing"	2	3	"3A"	"C2"	"Down"	"38"	"40"	"C"	"38"
"1-5"	"fa:fa:sha"	"86-J-0-1"	"86"	"J"	"0"	"1"	28	"Testing"	2	4	"3A"	"C1"	"Up"	"40"	"38"	"C"	"38"
"1-5"	"fa:fa:sha"	"74-J-10-4"	"74"	"J"	"10"	"4"	29	"Testing"	2	5	"3A"	"C1"	"Down"	"38"	"40"	"C"	"40"
"1-5"	"za:sa:za"	"27-C-30-1"	"27"	"C"	"30"	"1"	30	"Testing"	2	6	"3A"	"C2"	"Up"	"40"	"38"	"C"	"40"
"1-5"	"za:sa:za"	"84-C-20-2"	"84"	"C"	"20"	"2"	31	"Testing"	2	7	"3A"	"C2"	"Right"	"37"	"39"	"C"	"37"
